Seed,n,m,eps,gamma,Iterationen,Zeit [s],Marginalfehler,Kostendifferenz,Kosten Newton,Kosten Simplex
9,64,64,0.01,5e-05,216,0.27438570000231266,0.0010671812499095726,0.6938790354177655,2.968542408646635,3.6624214440644005
0,64,64,0.01,1e-05,281,0.3902056999504566,0.0003134350740883092,0.4271304816511119,5.087655399720514,5.514785881371626
1,64,64,0.01,1e-05,220,0.261863199993968,0.0001878124285965739,0.11486452701272887,1.592388525461863,1.707253052474592
2,64,64,0.01,1e-05,282,0.3399965998250991,0.0002721856570875557,0.28265874936306545,2.0779766517769804,2.360635401140046
3,64,64,0.01,1e-05,220,0.26775980019010603,0.0001484364951706181,0.06753659050554672,1.370570118219816,1.4381067087253627
4,64,64,0.01,1e-05,237,0.27087670005857944,0.0002271835050950237,0.26678999890924415,0.9499698944857027,1.2167598933949468
5,64,64,0.01,1e-05,216,0.256763500161469,0.00011003483940557474,0.0508656738387967,1.561425695535057,1.6122913693738536
6,64,64,0.01,1e-05,196,0.2367417998611927,9.559895506595223e-05,0.03453485401368539,1.2385560560475017,1.2730909100611871
7,64,64,0.01,1e-05,220,0.26933599985204637,0.00012090567878163955,0.06331052819299832,0.8034882741111415,0.8667988023041399
8,64,64,0.01,1e-05,207,0.24962879996746778,0.0001781220474430592,0.08971378439454503,2.10711467400424,2.196828458398785
9,64,64,0.01,1e-05,219,0.2600642000325024,0.00022124944743618508,0.14429955726250565,3.518121886801895,3.6624214440644005
0,64,64,0.01,1e-06,290,0.41947850002907217,3.1437303886539675e-05,0.043199361011476256,5.47158652036015,5.514785881371626
1,64,64,0.01,1e-06,239,0.2986546999309212,2.0499955121818653e-05,0.013272806232692336,1.6939802462418996,1.707253052474592
2,64,64,0.01,1e-06,272,0.3398869000375271,2.7937382859357512e-05,0.030311322781198413,2.3303240783588475,2.360635401140046
3,64,64,0.01,1e-06,220,0.27356600016355515,1.6468620498106407e-05,0.007411779385292139,1.4306949293400706,1.4381067087253627
4,64,64,0.01,1e-06,288,0.3589999000541866,2.6405866313677223e-05,0.03261830632051921,1.1841415870744276,1.2167598933949468
5,64,64,0.01,1e-06,226,0.2743778000585735,1.3624790661186104e-05,0.00619784717844718,1.6060935221954065,1.6122913693738536
6,64,64,0.01,1e-06,233,0.2824339000508189,9.906255729504043e-06,0.003486787043633477,1.2696041230175537,1.2730909100611871
7,64,64,0.01,1e-06,225,0.27693889988586307,1.459359307273353e-05,0.009165457082519812,0.85763334522162,0.8667988023041399
8,64,64,0.01,1e-06,201,0.2446898000780493,1.7812289441428153e-05,0.008971412856910721,2.1878570455418744,2.196828458398785
9,64,64,0.01,1e-06,197,0.2613388001918793,2.2124961291843104e-05,0.014429962993156131,3.6479914810712444,3.6624214440644005
0,64,64,0.01,5e-07,269,0.39990830002352595,1.5718653327601723e-05,0.021599681497714407,5.493186199873912,5.514785881371626
1,64,64,0.01,5e-07,235,0.2899118000641465,1.0531190285986008e-05,0.006927708757567874,1.700325343717024,1.707253052474592
